count,date,title,description,org_link,link
886,2024-01-07 07:26:00,"한·미·일 3국, 첫 인·태 대화…북러 <b>군사</b> 협력 등 규탄","한·미·일 3국이 첫 인도·태평양 대화를 열고 북한의 핵·미사일 위협과 북러 <b>군사</b>협력을 규탄했다. 한·미... 또 한국이 올해 주최하는 인공지능(<b>AI</b>) 안전 정상회의와 글로벌 <b>AI</b> 포럼 등을 통해 정보통신기술, 사이버보안... ",https://news.kmib.co.kr/article/view.asp?arcid=0019039862&code=61131111&cp=nv,https://n.news.naver.com/mnews/article/005/0001664870?sid=104
887,2024-01-07 05:39:00,"한미일, 북핵 규탄하며 중국의 남중국해 불법 영유권 반대","3국은 북한이 불법적인 핵·탄도미사일 개발 프로그램을 계속 추진하고 러시아와 <b>군사</b>협력을 확대하며... 3국은 한국이 올해 주최하는 인공지능(<b>AI</b>) 안전 정상회의와 글로벌 <b>AI</b> 포럼 등을 통해 정보통신기술, 사이버보안... ",https://news.sbs.co.kr/news/endPage.do?news_id=N1007489304&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001120422?sid=104
888,2024-01-07 05:00:00,&quot;석기시대로 돌려줘?&quot;…빅테크 떨게한 후티 반군 '막장 도발',이코노미스트는 &quot;(인공지능(<b>AI</b>) 붐 등으로 인한 데이터 트래픽 증가로) 해저 케이블은 이제 <b>군사</b>력에 비견될 만한 핵심 전략 자산이 됐다&quot;고 짚었다. 앞서 지난해 10월 초 발트 해에 깔린 해저 케이블 2개와 가스관 1개가... ,https://www.joongang.co.kr/article/25220155,https://n.news.naver.com/mnews/article/025/0003333421?sid=104
889,2024-01-07 03:30:00,"한미일, 북핵 규탄하며 중국의 남중국해 불법 영유권 재차 반대","3국은 북한이 불법적인 핵·탄도미사일 개발 프로그램을 계속 추진하고 러시아와 <b>군사</b>협력을 확대하며... 3국은 한국이 올해 주최하는 인공지능(<b>AI</b>) 안전 정상회의와 글로벌 <b>AI</b> 포럼 등을 통해 정보통신기술, 사이버보안... ",https://www.yna.co.kr/view/AKR20240107001800071?input=1195m,https://n.news.naver.com/mnews/article/001/0014429061?sid=104
890,2024-01-06 17:46:00,DJ 탄생 100주년 기념식 정치권 총출동…“국민 화합”·“위기 극복”,얼어붙은 남북관계와 국제질서 속에서 한반도의 <b>군사</b>적 긴장이 한층 격화되고 있다&quot;고 지적했습니다.... 대통령 <b>AI</b> 연설 등으로 구성됐습니다. 김 전 대통령은 1924년 1월 전남 신안 하의도에서 태어나 1997년 제15대 대통령... ,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7859819&ref=A,https://n.news.naver.com/mnews/article/056/0011636991?sid=100
891,2024-01-06 14:26:00,"최춘식 의원, 포천 경제발전 위해 UAM인프라 15항공단 활용 추진","평가와 <b>군사</b>기지 및 <b>군사</b>시설보호법 개정 결과에 따라 조치하겠다&quot;고 보고한 바 있다. 민군공용비행장의... 빅데이터 <b>AI</b>까지 다양한 첨단기술이 집약되어 있기 때문에 포천의 경제, 산업, 미래를 혁신적으로 바꿀 것... ",https://www.thefairnews.co.kr/news/articleView.html?idxno=20204,https://www.thefairnews.co.kr/news/articleView.html?idxno=20204
892,2024-01-06 11:04:00,이번 주 볼만한 영화 [인포그래픽],"서울 <b>군사</b>반란 발생. 그날, 대한민국의 운명이 바뀌었다. 대한민국을 뒤흔든 10월 26일 이후, 서울에 새로운... 한편, 악당 '빅벤'은 '스캣'과의 경쟁에서 이기기 위해 모든 것이 완벽한 <b>AI</b> 아이돌 '아이원'을 앞세워 대회에... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=205377,http://www.sisunnews.co.kr/news/articleView.html?idxno=205377
893,2024-01-06 06:02:00,올해도 '<b>AI</b>'가 다 한다…미리 보는 2024 IT 트렌드[CES 뉴테크놀로지①],<b>군사</b>적 악용 등 윤리적 문제가 문명을 파괴할 것이라는 우려도 있지만 <b>AI</b>는 인류 번영에 중요한 역할을 할 것으로 보인다. CES 2024에서 올해의 핵심 기술로 ‘<b>AI</b>’를 선택한 이유이기도 하다. <b>AI</b> 라이프의 시작 CTA가... ,https://magazine.hankyung.com/business/article/202401030212b,https://n.news.naver.com/mnews/article/050/0000070724?sid=101
894,2024-01-06 04:31:00,&quot;인공지능은 사람 지능을 닮지 않았다&quot; 사이버네틱스 창시자의 경고,"<b>군사</b>기밀 접근권을 가진 극소수의 사람들만 돌려본 이 보고서는 노란 표지가 붙었다는 이유로 중의적으로... 요즘 최고 최대의 화두, 인공지능(<b>AI</b>)이다. '정보시대의 다크 히어로'는 사이버네틱스의 창시자라 불리는... ",https://www.hankookilbo.com/News/Read/A2024010311310003708?did=NA,https://n.news.naver.com/mnews/article/469/0000778943?sid=103
895,2024-01-05 18:30:00,"윤 대통령님, '존 F. 케네디 인용' 자제해 주십시오","하지만 이날 발언에서도 <b>AI</b>(인공지능), 첨단바이오, 퀀텀(양자)이라는 3대 분야와 &quot;혁신적이고 도전적인 R&amp;D... 남북은 9·19 <b>군사</b>분야 남북합의서를 사실상 사문화하고 전력을 휴전선 가까이 끌어왔다. 남북 간 긴장이... ",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002991285&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002418006?sid=100
