count,date,title,description,org_link,link
197,2024-02-08 08:36:00,"[<b>AI</b>반도체 첩혈쌍웅②]삼성전자 vs SK하이닉스 '6세대 HBM4, 왕좌의 게임'",반도체 라이벌 삼성전자와 SK하이닉스가 <b>AI</b> 산업을 주도할 HBM 반도체 시장을 놓고 벌일 혈투의 서막을... 이 외에도 양사가 준비하는 비장의 <b>무기</b>는 따로 있다. 우선 삼성전자는 TSMC의 전유물처럼 여겨지던 맞춤형... ,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065592420269050,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065592420269050
198,2024-02-08 07:12:00,中 경제둔화 우려 속 알리바바·징둥 급락...테무 모기업 PDD만 상승,"미국과 중국간 갈등고조, 미국의 중국 인공지능(<b>AI</b>) 견제 속에 첨단 반도체 수출이 통제된 것도 알리바바에... 테무의 급속한 성장세가 <b>무기</b>인 핀둬둬는 3.00달러(2.39%) 뛴 128.78달러로 올라섰다. 김미혜 글로벌이코노믹... ",http://www.g-enews.com/ko-kr/news/article/news_all/202402080019541698be84d87674_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202402080019541698be84d87674_1/article.html
199,2024-02-08 06:43:00,"백악관 당국자 &quot;북, 해킹에 신기술 적극 적용&quot;…대책 필요성 지적","북한이 핵을 비롯한 대량살상<b>무기</b> 개발 자금을 마련하기 위해 가상화폐 해킹에 나서고 있고, 이를 위해... 열린 '인공지능(<b>AI</b>)의 부상' 주제의 대담에서 &quot;역설적이게도 북한은 신흥 기술을 이용하는 데 있어 가장 창의적이고... ",https://news.sbs.co.kr/news/endPage.do?news_id=N1007530179&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001129350?sid=104
200,2024-02-08 05:37:00,"백악관당국자 &quot;北, 해킹에 신기술 적극 적용&quot;…대책 필요성 지적","대량살상<b>무기</b>(WMD) 개발 자금을 마련하기 위해 가상화폐 해킹에 나서고 있고, 이를 위해 신기술을 적극적으로... 열린, '인공지능(<b>AI</b>)의 부상' 주제의 대담에서 &quot;역설적이게도 북한은 신흥 기술을 이용하는 데 있어 가장... ",https://www.yna.co.kr/view/AKR20240208006800071?input=1195m,https://n.news.naver.com/mnews/article/001/0014496464?sid=104
201,2024-02-08 05:36:00,올 설 연휴 4일…어떤 게임 해볼래? 새 게임 시작해볼 때,"그 중 올해 상반기 국내서 선보일 <b>AI</b> 육성 어반 판타지 RPG '스타시드: 아스니아 트리거'는 사전 예약을... 이 기간 이용자는 매일 획득할 수 있는 '복주머니'를 통해 '장신구 각성석(전설)', '<b>무기</b> 각성석(전설)' 등의... ",https://www.gokorea.kr/news/articleView.html?idxno=750397,https://www.gokorea.kr/news/articleView.html?idxno=750397
202,2024-02-08 05:02:00,수송기·정찰기·전투기·드론까지…방산업계는 지금 '무인시대',양사는 방산 무인체계를 비롯해 방산수출과 기동<b>무기</b> 등 방산부문 전반에 대해 상호 협력을 펼치는... KAI가 집중하는 분야는 유·무인 복합체계(MUM-T)와 6세대 전투기에 적용되는 인공지능(<b>AI</b>) 기반의 임무 모듈과... ,https://www.cwn.kr/news/articleView.html?idxno=26078,https://www.cwn.kr/news/articleView.html?idxno=26078
203,2024-02-08 01:03:00,[이상렬의 시시각각] 정치에 직무유기 책임을 묻자,군의 핵심 대책은 <b>무기</b>와 장비의 첨단화다. 그러나 전쟁은 결국 군인이 한다. 드론과 인공지능(<b>AI</b>)이 잔뜩 동원된 러시아-우크라이나 전쟁과 이스라엘-하마스 전쟁도 병력이 승패의 결정적 요소로 작용하고 있다. 기업... ,https://www.joongang.co.kr/article/25227680,https://n.news.naver.com/mnews/article/025/0003340400?sid=110
204,2024-02-07 20:52:00,[정상태 칼럼] 백인도장,"그리고 사람들 사이에서 회자되는 6세대 전투기는 인공지능(<b>AI</b>)과 유무인 협엽, 지향성 고에너지 <b>무기</b>가 그 특징이라고 볼 수 있다. 이때 등장하는 지향성 고에너지 <b>무기</b>가 바로 빛을 이용하여 상대방을 제압하는 것이다.... ",https://www.dkilbo.com/news/articleView.html?idxno=430255,https://www.dkilbo.com/news/articleView.html?idxno=430255
205,2024-02-07 19:38:00,&quot;흑해함대 심각한 타격&quot;...러시아 침몰시킨 우크라 '게임체인저' [지금이뉴스...,발레리 잘루즈니 우크라이나군 총사령관은 최근 CNN 기고문에서 &quot;드론 같은 무인 체계는 여러 유형의 첨단 <b>무기</b>와 함께 우크라이나가 우위를 점하지 못하는 진지전에 끌려들지 않는 최선의 길이다&quot;라고 강조했습니다. <b>AI</b>... ,https://www.ytn.co.kr/_ln/0134_202402071938160027,https://n.news.naver.com/mnews/article/052/0001995591?sid=104
206,2024-02-07 18:00:00,"동양칼럼/ 탈진실 시대, 자유로부터의 도피",김종대 연세대 통일연구원 객원교수 ［동양일보］ 미 국방부는 작년에 최초로 생성형 인공지능(<b>AI</b>) 연구에 30억 달러의 예산을 투입하였다. 앞으로 테러 집단이나 적대국이 사실 여부가 불가능한 허위 정보를 공격 <b>무기</b>로... ,http://www.dynews.co.kr/news/articleView.html?idxno=739514,http://www.dynews.co.kr/news/articleView.html?idxno=739514
207,2024-02-07 17:04:00,[토큰포스트 마감 브리핑] 금감원장 &quot;가상자산시장 위법행위 만연…발견시 중...,"당시에는 면세 기한이 정해져 있었지만, 이번에는 <b>무기</b>한이다. 마이크로스트래티지 BTC 미실현 수익 $22.... 브레반하워드디지털 추정 주소, 30분 전 바이낸스에 $160만 LDO 입금 온체인 애널리스트 <b>ai</b>_9684xtpa가 X를 통해... ",https://www.tokenpost.kr/article-163828,https://www.tokenpost.kr/article-163828
208,2024-02-07 16:04:00,'해병대 상륙작전 투입' 120㎜ 자주박격포 등 본격 개발,이에 앞서 방사청은 지난해 12월 28일에 방산업체 한화에어로스페이스와 '인공지능(<b>AI</b>)기술 기반 유·무인... 두 <b>무기</b>체계의 시제품이 만들어지면 군이 시범운용을 통해 군사적 효용성을 확인할 예정이다.... ,http://www.fnnews.com/news/202402071508529896,https://n.news.naver.com/mnews/article/014/0005139830?sid=100
209,2024-02-07 15:48:00,[총선★나도뛴다]배기석 부산 북·강서갑 예비후보 &quot;젊은 정치인들과 공정한 ...,최고의 <b>무기</b>&quot;라며 &quot;주민들이 가장 필요로 하는 현안을 찾아 해결해 줘 편안한 생활이 가능하도록 하는 주민... &quot;-국회 입성후 하고 싶은 정치는&quot;<b>AI</b> 인공지능 알고리즘 규제 법안을 마련해 국민을 양극단으로 쏠리도록... ,https://www.asiatoday.co.kr/view.php?key=20240207010003901,https://www.asiatoday.co.kr/view.php?key=20240207010003901
210,2024-02-07 15:35:00,파키스탄 총선 D-1…'승리 유력' 샤리프 전 총리 등 막판 유세전,인공지능(<b>AI</b>)을 이용한 유세를 벌이고 있다. 파키스탄에서는 시도한 바 없는 유세로 평가받는다. 그는 최근 소셜미디어 엑스(X·옛 트위터)에 올린 글을 통해 &quot;우리가 가진 가장 강력하고 의미 있는 <b>무기</b>는 투표&quot;라며... ,https://www.yna.co.kr/view/AKR20240207107800077?input=1195m,https://n.news.naver.com/mnews/article/001/0014495538?sid=104
211,2024-02-07 15:30:00,"산업부, 올해 10대 제조업에 민간투자 110조 투입…신산업 지원 강화",아울러 미래 최우선 정책 과제를 '인공지능(<b>AI</b>)과 산업의 융합'으로 정해 <b>AI</b> 시대의 신산업 정책을... 디스플레이는 올해 차세대 <b>무기</b>발광(마이크로LED)에 대한 연구·개발(R&amp;D)을 본격 개시해 초격차 창출에 나선다.... ,https://www.newspim.com/news/view/20240207000938,https://www.newspim.com/news/view/20240207000938
212,2024-02-07 15:23:00,인공지능에 맞선 인간의 <b>무기</b>는,"인공지능이 생활 깊이 파고든 지금, 인공지능에 맞선 인간의 차별화 전략을 연구한 책이 나왔다. 구자영 기획재정부 기업환경과장이 7일 ‘디지털 시대, 영감의 스위치를 켜라’(미다스북스, 1만8800원)를 냈다. 인공지능... ",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20240207.99099002134,https://n.news.naver.com/mnews/article/658/0000065502?sid=103
213,2024-02-07 15:18:00,"퍼스트 인 라스트 아웃(First in Last out), 지형분석으로부터…","정밀<b>무기</b>체계 등의 기반요소로 신속하고 정확한 지휘결심과 결정적인 정밀타격을 가능하게 하고 있다. 이를... 현재 우리 군은 제2의 창군 수준으로 국방태세 전반을 재설계하면서 인공지능, 로봇, <b>AI</b> 등 과학기술강군으로... ",https://kookbang.dema.mil.kr/newsWeb/20240208/1/ATCE_CTGR_0050040000/view.do,https://kookbang.dema.mil.kr/newsWeb/20240208/1/ATCE_CTGR_0050040000/view.do
214,2024-02-07 14:22:00,드론 기습당한 미군 기지...당국자의 충격적인 상황 암시 [지금이뉴스],WP는 또 공격받은 미군 주둔지 `타워 22`는 드론과 같은 공중 위협을 격추할 수 있는 <b>무기</b>를 갖추고 있지... 능력이 있는지에 대한 새로운 의문을 제기한다고 WP는 평가했습니다. <b>AI</b> 앵커ㅣY-GO 자막편집 | 이 선 #지금이뉴스,https://www.ytn.co.kr/_ln/0134_202402071422461197,https://n.news.naver.com/mnews/article/052/0001995424?sid=104
215,2024-02-07 14:19:00,"&quot;<b>AI</b>로 5분만에 쇼핑몰 뚝딱&quot;…NHN엔터, 위븐 손잡고 新<b>무기</b> 내놨다",NHN클라우드의 자회사 엔에이치엔 엔터프라이즈가 <b>AI</b> 기술을 활용해 쉽고 빠르게 쇼핑몰을 구축해주는... (사진=NHN클라우드) '즉시'는 벤치마킹할 사이트 주소를 입력하면 <b>AI</b> 기술이 사이트 구성 요소를 분석해 유사한... ,https://zdnet.co.kr/view/?no=20240207141803,https://n.news.naver.com/mnews/article/092/0002320750?sid=105
216,2024-02-07 13:42:00,미국 보복 공습에도...이란 수상한 움직임 포착 [지금이뉴스],미국의 친이란 무장단체들에 대한 보복 공격에도 불구하고 이란은 이들 대리세력에 <b>무기</b>와 정보를 계속... 삼는 데 도움이 되는 정보가 포함돼 있다고 전했습니다. 기자 | 류제웅 <b>AI</b> 앵커 | Y-GO 자막편집 | 박해진 #지금이뉴스,https://www.ytn.co.kr/_ln/0134_202402071342411534,https://n.news.naver.com/mnews/article/052/0001995400?sid=104
217,2024-02-07 13:30:00,‘온라인유통·투자 최소화’가 <b>무기</b>…4천억 모은 제4이통 스테이지엑스,"인공지능(<b>AI</b>) 등 연구개발(R&amp;D) 확대는 미래 방향성 측면에서 의미가 있었다. [이데일리 문승용 기자] 7일... 서 대표는 이에 대해 “스테이지파이브는 가격 경쟁력이 <b>무기</b>이고, 스테이지엑스는 통신분야 슈퍼앱으로... ",http://www.edaily.co.kr/news/newspath.asp?newsid=02997926638788224,https://n.news.naver.com/mnews/article/018/0005669746?sid=105
218,2024-02-07 12:28:00,"중국 '칩렛' 기술 확보에 사활, 저사양 반도체 패키지로 묶어 고성능 구현",인공지능(<b>AI</b>)을 비롯한 첨단 산업에서 중국이 경쟁력을 확보할 수 없도록 하는 동시에 고성능 군사<b>무기</b> 개발에도 차질이 불가피하도록 하기 위한 전략이다. 중국 정부가 자국 기업의 반도체 기술 연구개발과 생산 투자에... ,https://www.businesspost.co.kr/BP?command=article_view&num=341903,https://www.businesspost.co.kr/BP?command=article_view&num=341903
219,2024-02-07 12:17:00,[G-브리핑] ‘아레스’ 출시 200일 이벤트 진행,오는 28일까지 진행되는 14일간의 출석 이벤트에 참여하면 ‘<b>무기</b>/방어구/모듈/성물 복구권’ 각 1종과... 지난 5일 출시한 ‘즉시’는 <b>AI</b>기술을 활용해 쉽고 빠르게 쇼핑몰을 구축해주는 솔루션이다. 벤치마킹할 사이트... ,https://www.mk.co.kr/article/10938608,https://n.news.naver.com/mnews/article/009/0005255888?sid=105
220,2024-02-07 11:38:00,중동 화약고에 좌불안석...사우디가 선택한 韓 '철벽 방어망' [지금이뉴스],"요격 <b>무기</b>체계입니다. 탄도탄과 항공기 등 공중 위협에 동시 대응하기 위해 개발됐으며, 2017년 전투용... 해외 시장에서 경쟁력을 인정받은 것으로 평가됩니다. 기자ㅣ최민기 <b>AI</b> 앵커ㅣY-GO 자막편집 | 이 선 #지금이뉴스",https://www.ytn.co.kr/_ln/0134_202402071138312370,https://n.news.naver.com/mnews/article/052/0001995345?sid=100
